Time,Source,Destination,Protocol,Length,portnumber,Info
2015-10-2409:43:45,192.168.0.105,192.168.0.1,DNS,87,53,googleads.g.doubleclick.net
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,79,53,cdn.api.twitter.com
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,77,53,api.pinterest.com
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,78,53,graph.facebook.com
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,72,53,pixel.wp.com
2015-10-2409:43:48,192.168.0.105,192.168.0.1,DNS,79,53,clients1.google.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,78,53,cms.quantserve.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,77,53,goog.applovin.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,72,53,p.rfihub.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,71,53,pm.w55c.net
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,71,53,s0.2mdn.net
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,76,53,wpcomwidgets.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,79,53,images.outbrain.com
2015-10-2409:43:50,192.168.0.105,192.168.0.1,DNS,75,53,ct.buzzfeed.com
2015-10-2409:43:50,192.168.0.105,192.168.0.1,DNS,85,53,tpc.googlesyndication.com
2015-10-2409:43:50,192.168.0.105,192.168.0.1,DNS,78,53,tag.userreport.com
2015-10-2409:43:50,192.168.0.105,192.168.0.1,DNS,76,53,log.outbrain.com
2015-10-2409:43:51,192.168.0.105,192.168.0.1,DNS,82,53,cm.send.microad-cn.com
2015-10-2409:43:51,192.168.0.105,192.168.0.1,DNS,78,53,blogs.rollcall.com
2015-10-2409:43:51,192.168.0.105,192.168.0.1,DNS,78,53,software.intel.com
2015-10-2409:43:51,192.168.0.105,192.168.0.1,DNS,74,53,www.webiot.com
