"Time","Source","Destination","Protocol","Length","port number","Info"
"2015-10-24 09:43:41","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0xa08f  A www.linkedin.com"
"2015-10-24 09:43:41","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x3db5  A www.youtube.com"
"2015-10-24 09:43:42","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0x8ba4  A www.google-analytics.com"
"2015-10-24 09:43:42","192.168.0.105","192.168.0.1","DNS","91","53","Standard query 0x5f6b  A settingsbucket.s3.amazonaws.com"
"2015-10-24 09:43:42","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0xeed6  A b.scorecardresearch.com"
"2015-10-24 09:43:42","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0xbde0  A recodetech.wordpress.com"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0xde74  A p.typekit.net"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0xe377  A stats.g.doubleclick.net"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x408c  A vip.wordpress.com"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0xd13b  A www.pinterest.com"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0xb3da  A www.recodereprints.com"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x1310  A odb.outbrain.com"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x6647  A www.theverge.com"
"2015-10-24 09:43:44","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x5e32  A www.voxmedia.com"
"2015-10-24 09:43:45","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xf730  A cm.g.doubleclick.net"
"2015-10-24 09:43:45","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0xc0c0  A pixel.rubiconproject.com"
"2015-10-24 09:43:45","192.168.0.105","192.168.0.1","DNS","70","53","Standard query 0xdaba  A d.agkn.com"
"2015-10-24 09:43:45","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0x1d55  A googleads.g.doubleclick.net"
"2015-10-24 09:43:47","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x20bf  A cdn.api.twitter.com"
"2015-10-24 09:43:47","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x9631  A api.pinterest.com"
"2015-10-24 09:43:47","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x3ca9  A graph.facebook.com"
